MES,FECHA VENTA,LÍNEA DE NEGOCIO,SUBCATEGORÍA 1,SUBCATEGORÍA 2,CANTIDAD,SUBTOTAL,TOTAL,COSTO 1,COSTO 2,COSTO 3,COSTO 4,COSTO 5,COSTO 6,COSTO 7,COSTO 8,COSTO 9,COSTO 10,COSTO 11,COSTO 12,COSTO 13,COSTO 14,COSTO 15,COSTO 16,COSTO 17,COSTO 18,COSTO 19,COSTO 20,COSTO 21,COSTO 22,COSTO 23,COSTO 24,COSTO 25,COSTO 26,COSTO 27,COSTO 28,COSTO 29,COSTO 30,COSTO 31,COSTO 32,COSTO 33,COSTO 34,COSTO 35,COSTO 36,COSTO 37,COSTO 38,COSTO 39,COSTO 40,COSTO 41,COSTO 42,COSTO 43,COSTO 44,COSTO 45,COSTO 46,COSTO 47,COSTO 48,COSTO 49,COSTO 50,COSTO TOTAL SIN IVA,COSTO TOTAL DEL SERVICIO,UTILIDAD BRUTA,MARGEN BRUTO,COL ESPECIAL 1,COL ESPECIAL 2,COL ESPECIAL 3,COL ESPECIAL 4,COL ESPECIAL 5,COL ESPECIAL 6
ENERO 2026,,ANT,Alimentos,YAKIMESHI MIXTO,959,"$152,135.84","$176,477.57","$36,783.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,783.88","$42,669.30","$115,351.96",$0.76,CALIENTE,CALIENTE,Alimentos,,,
ENERO 2026,,ANT,Alimentos,LOBSTER ROLL,458,"$107,989.65","$125,267.99","$50,819.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,819.88","$58,951.06","$57,169.77",$0.53,MAKIS,MAKIS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,CRISPY TUNA,512,"$103,055.61","$119,544.51","$36,479.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,479.93","$42,316.72","$66,575.68",$0.65,MAKIS,FRITOS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,CAMARONES ROCA,560,"$93,763.05","$108,765.14","$27,817.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,817.66","$32,268.49","$65,945.39",$0.70,FRITOS,SUG ENTRADAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,GYOZAS SHORT RIB,389,"$81,451.95","$94,484.26","$33,533.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,533.39","$38,898.73","$47,918.56",$0.59,SUG ENTRADAS,ENTRADAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,ROLLO RIB EYE TERIYAKI,399,"$77,066.37","$89,396.99","$45,924.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,924.88","$53,272.86","$31,141.49",$0.40,ENTRADAS,DONBURI,Alimentos,,,
ENERO 2026,,ANT,Bebidas,TOPO CHICO,"1,238","$68,916.44","$79,943.07","$23,575.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,575.36","$27,347.42","$45,341.08",$0.66,BEBIDAS,NIGIRI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,TACASHI MAKI,310,"$64,106.90","$74,364.00","$16,075.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,075.05","$18,647.06","$48,031.85",$0.75,MAKIS,SOPAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,OSHINKO MAKI,287,"$62,804.74","$72,853.50","$19,073.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,073.46","$22,125.22","$43,731.28",$0.70,MAKIS,POSTRES,Alimentos,,,
ENERO 2026,,ANT,Alimentos,DONBURI,298,"$54,870.09","$63,649.30","$2,411.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,411.37","$2,797.19","$52,458.72",$0.96,DONBURI,ESPECIALES ANTEA,Alimentos,,,
ENERO 2026,,ANT,Alimentos,GYOZAS MACHA,323,"$51,170.06","$59,357.27","$11,735.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,735.72","$13,613.44","$39,434.34",$0.77,CALIENTE,CRUDOS/TIRADITOS,Alimentos,,,
ENERO 2026,,ANT,Bebidas,LIMONADA FR,596,"$48,664.19","$56,450.46","$1,788.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,788.00","$2,074.08","$46,876.19",$0.96,BEBIDAS,ESP ENTRADAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,MAGURO SPECIAL MAKI,208,"$48,622.85","$56,402.51","$14,811.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,811.14","$17,180.93","$33,811.71",$0.70,MAKIS,ENSALADAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SEKI MAKI,239,"$47,891.38","$55,554.00","$12,115.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,115.84","$14,054.38","$35,775.54",$0.75,MAKIS,SASHIMI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,UNAGI KING,262,"$43,932.70","$50,961.93","$8,581.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,581.57","$9,954.62","$35,351.13",$0.80,MAKIS,EXTRAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,EDAMAMES PREP,514,"$41,795.93","$48,483.28","$9,735.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,735.41","$11,293.08","$32,060.52",$0.77,ENTRADAS,TACOS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,GOYITO MAKI,175,"$41,414.35","$48,040.65","$11,554.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,554.70","$13,403.45","$29,859.65",$0.72,MAKIS,TEMAKI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,OTORO NG,382,"$41,114.57","$47,692.90","$5,365.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,365.93","$6,224.48","$35,748.64",$0.87,NIGIRI,SUG NIGIRI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,WAGYU NG,252,"$39,103.45","$45,360.00","$15,336.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,336.32","$17,790.14","$23,767.13",$0.61,NIGIRI,SOFT OPENING,Alimentos,,,
ENERO 2026,,ANT,Alimentos,TEMPURA UDON,255,"$39,103.45","$45,360.00","$8,208.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,208.61","$9,521.99","$30,894.84",$0.79,SOPAS,ESP NIGIRIS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,COSTILLAS CORDERO,78,"$37,737.98","$43,776.06","$20,117.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,117.03","$23,335.75","$17,620.95",$0.47,CALIENTE,SUG MAKIS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,CHUTORO NG,400,"$34,469.83","$39,985.00","$5,847.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,847.86","$6,783.52","$28,621.97",$0.83,NIGIRI,SOPAS/YAMIKESHI/GYOZAS,Alimentos,,,
ENERO 2026,,ANT,Bebidas,SAPPORO PREMIUM 475 ML,223,"$33,514.01","$38,876.25","$13,380.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,380.00","$15,520.80","$20,134.01",$0.60,CERVEZA,TEPPANYAKI,Alimentos,,,
ENERO 2026,,ANT,Destilados,CARAJILLO,184,"$33,148.92","$38,452.75","$8,533.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,533.79","$9,899.20","$24,615.13",$0.74,COCTELERIA CLASICA,MENU ESPECIAL,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SALMON NG,700,"$33,132.44","$38,433.63","$4,797.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,797.82","$5,565.47","$28,334.62",$0.86,NIGIRI,NORI TACOS,Alimentos,,,
ENERO 2026,,ANT,Bebidas,LIMONADA LICHI,371,"$30,289.44","$35,135.75","$2,865.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,865.13","$3,323.56","$27,424.31",$0.91,BEBIDAS,PLATOS FUERTES,Alimentos,,,
ENERO 2026,,ANT,Alimentos,FERRERO MOSTACHÓN,192,"$29,950.86","$34,743.00","$15,690.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,690.97","$18,201.53","$14,259.89",$0.48,POSTRES,CRUDOS,Alimentos,,,
ENERO 2026,,ANT,Destilados,ST GERMAIN SPRITZ,160,"$29,456.81","$34,169.90","$13,367.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,367.39","$15,506.18","$16,089.42",$0.55,COCTELERIA CLASICA,*SASHIMI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,CALIFORNIA CAMARON MK,232,"$27,871.19","$32,330.58","$7,660.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,660.56","$8,886.25","$20,210.63",$0.73,MAKIS,*SOPAS/YAMIKESHI/GYOZAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,KATSU CURRY,157,"$27,625.86","$32,046.00","$7,286.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,286.26","$8,452.06","$20,339.60",$0.74,ESPECIALES ANTEA,SIDES,Alimentos,,,
ENERO 2026,,ANT,Alimentos,HAMACHI TRUFA MAKI,117,"$27,151.29","$31,495.50","$7,305.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,305.49","$8,474.37","$19,845.80",$0.73,MAKIS,*MAKIS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,HAMACHI SERRANITO,128,"$26,791.60","$31,078.26","$5,846.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,846.19","$6,781.58","$20,945.41",$0.78,CRUDOS/TIRADITOS,*ENTRADAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,WON TON ATUN SALMON,159,"$24,672.41","$28,620.00","$10,633.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,633.30","$12,334.63","$14,039.11",$0.57,ENTRADAS,*TEPPANYAKI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SOPA MISO,310,"$24,027.92","$27,872.39","$4,082.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,082.41","$4,735.59","$19,945.51",$0.83,SOPAS,*ENSALADAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SPICY MAKI ATUN,169,"$22,581.90","$26,195.00","$8,335.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,335.10","$9,668.72","$14,246.80",$0.63,MAKIS,*POSTRES,Alimentos,,,
ENERO 2026,,ANT,Alimentos,AVOCADO MAKI CAMARON,182,"$22,568.75","$26,179.75","$6,578.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,578.34","$7,630.88","$15,990.41",$0.71,MAKIS,*NIGIRI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SUSHI MORIAWASE,45,"$22,013.79","$25,536.00","$5,763.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,763.06","$6,685.15","$16,250.73",$0.74,ESPECIALES ANTEA,*TEMAKI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,YAKIMESHI VERDURAS,154,"$21,834.05","$25,327.50","$1,737.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,737.81","$2,015.86","$20,096.24",$0.92,CALIENTE,SUG HOSOMAKI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,TEMPURA HELADO DE VAINILLA,190,"$21,102.59","$24,479.00","$6,010.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,010.94","$6,972.69","$15,091.65",$0.72,POSTRES,YAKIMESHI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SAWAGANI NG,148,"$21,051.72","$24,420.00","$14,753.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,753.22","$17,113.74","$6,298.50",$0.30,ESPECIALES ANTEA,RAMEN/SOPAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,AVOCADO MAKI SALMON,168,"$20,885.34","$24,226.99","$4,416.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,416.73","$5,123.40","$16,468.61",$0.79,MAKIS,OMAKASE,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SOFT SHELL CRAB MAKI,101,"$20,828.27","$24,160.79","$5,701.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,701.60","$6,613.85","$15,126.67",$0.73,MAKIS,ESP ENTRADA,Alimentos,,,
ENERO 2026,,ANT,Alimentos,BAO PORK BELLY,109,"$20,482.76","$23,760.00","$2,469.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,469.73","$2,864.88","$18,013.03",$0.88,SUG ENTRADAS,*DONBURI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SUSHI CAKE MIXTO,141,"$20,443.97","$23,715.01","$7,161.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,161.10","$8,306.88","$13,282.87",$0.65,ENTRADAS,HOZOMAKI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,KANI SAKE MAKI,163,"$20,356.25","$23,613.25","$5,004.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,004.61","$5,805.35","$15,351.64",$0.75,MAKIS,ESP SASHIMI,Alimentos,,,
ENERO 2026,,ANT,Bebidas,EVIAN NAT 330ml,356,"$19,828.02","$23,000.50","$11,392.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,392.00","$13,214.72","$8,436.02",$0.43,BEBIDAS,*POSTRE,Alimentos,,,
ENERO 2026,,ANT,Destilados,MEZCALITA JAMAICA,117,"$19,668.10","$22,815.00","$5,469.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,469.81","$6,344.98","$14,198.29",$0.72,COCTELERIA ANTEA,*EXTRAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SHAKE SHIO KOJI,62,"$19,345.29","$22,440.54","$8,127.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,127.37","$9,427.75","$11,217.92",$0.58,CALIENTE,*EXTRA PROTEINA,Alimentos,,,
ENERO 2026,,ANT,Bebidas,NARANAJADA,409,"$19,342.46","$22,437.25","$2,010.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,010.63","$2,332.34","$17,331.83",$0.90,BEBIDAS,ESP TEMAKI,Alimentos,,,
ENERO 2026,,ANT,Bebidas,LIMONADA,402,"$18,977.37","$22,013.75","$1,617.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,617.90","$1,876.76","$17,359.47",$0.91,BEBIDAS,ESP COM NIGIRI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,MOCHI,401,"$18,861.21","$21,879.00","$9,142.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,142.80","$10,605.65","$9,718.41",$0.52,POSTRES,EMPAQUE,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SPICY MAKI SALMON,140,"$18,633.41","$21,614.76","$4,368.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,368.05","$5,066.94","$14,265.36",$0.77,MAKIS,CHAROLAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,TORO UNI NG,75,"$18,103.45","$21,000.00","$1,570.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,570.57","$1,821.87","$16,532.88",$0.91,NIGIRI,MAKIS ESP,Alimentos,,,
ENERO 2026,,ANT,Alimentos,CHEESECAKE NUTELLA,111,"$17,630.82","$20,451.75","$6,997.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,997.65","$8,117.28","$10,633.17",$0.60,POSTRES,MAKI,Alimentos,,,
ENERO 2026,,ANT,Bebidas,LIMONADA PEPINO,215,"$17,532.64","$20,337.86",$858.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$858.51,$995.87,"$16,674.13",$0.95,BEBIDAS,SASHIMIS ESP,Alimentos,,,
ENERO 2026,,ANT,Alimentos,CALIFORNIA SALMON MK,150,"$17,439.44","$20,229.75","$3,474.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,474.74","$4,030.70","$13,964.70",$0.80,MAKIS,TEMAKI ESP,Alimentos,,,
ENERO 2026,,ANT,Destilados,APEROL SPRITZ,97,"$16,859.48","$19,557.00","$5,606.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,606.57","$6,503.62","$11,252.91",$0.67,COCTELERIA CLASICA,HOSOMAKIS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SASHIMI GO,34,"$16,500.00","$19,140.00","$4,790.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,790.82","$5,557.35","$11,709.18",$0.71,ESPECIALES ANTEA,*EXTRA PROT,Alimentos,,,
ENERO 2026,,ANT,Alimentos,UNAGI NG,221,"$15,103.45","$17,520.00","$1,818.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,818.27","$2,109.20","$13,285.18",$0.88,NIGIRI,*CHAROLAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,IKA KARAGE,109,"$14,696.55","$17,048.00","$4,205.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,205.91","$4,878.86","$10,490.64",$0.71,FRITOS,EMPAQUE DELIVERY,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SPICY MAKI CAMARON,106,"$14,163.79","$16,430.00","$4,351.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,351.84","$5,048.13","$9,811.95",$0.69,MAKIS,SERVICIOS,Alimentos,,,
ENERO 2026,,ANT,Bebidas,CALPIS,223,"$13,456.90","$15,610.00","$1,471.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,471.80","$1,707.29","$11,985.10",$0.89,BEBIDAS,EVENTOS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,OSTION KUMAMOTO PZ,131,"$13,344.83","$15,480.00","$3,911.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,911.11","$4,536.89","$9,433.72",$0.71,ESP ENTRADAS,RONQUEO/EVENTOS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,SAKE CRISPY SOFT SHELL MAKI,62,"$13,193.96","$15,304.99","$4,079.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,079.98","$4,732.78","$9,113.98",$0.69,MAKIS,EVENTO,Alimentos,,,
ENERO 2026,,ANT,Destilados,FUJI,54,"$12,793.10","$14,840.00","$2,656.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,656.84","$3,081.94","$10,136.26",$0.79,COCTELERIA ANTEA,BEBIDAS,Bebidas,,,
ENERO 2026,,ANT,Destilados,J.W ETIQUETA NEGRA,68,"$12,788.79","$14,835.00","$3,631.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,631.03","$4,212.00","$9,157.76",$0.72,WHISKY,CERVEZA,Bebidas,,,
ENERO 2026,,ANT,Alimentos,SHINKAI MAKI,51,"$12,530.17","$14,535.00","$4,737.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,737.36","$5,495.34","$7,792.81",$0.62,ESPECIALES ANTEA,MOCTELES,Bebidas,,,
ENERO 2026,,ANT,Bebidas,AMSTEL ULTRA,175,"$12,426.03","$14,414.19","$3,846.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,846.98","$4,462.50","$8,579.05",$0.69,CERVEZA,BEBIDAS NAMA,Bebidas,,,
ENERO 2026,,ANT,Alimentos,TARTAR ALETA AZUL,57,"$12,277.37","$14,241.75","$6,446.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,446.24","$7,477.64","$5,831.13",$0.47,ENTRADAS,CERVEZA NAMA,Bebidas,,,
ENERO 2026,,ANT,Alimentos,EDAMAMES VAPOR,150,"$12,178.02","$14,126.50","$1,821.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,821.68","$2,113.15","$10,356.34",$0.85,ENTRADAS,BEBIDAS.,Bebidas,,,
ENERO 2026,,ANT,Alimentos,ENS BRUSELAS,97,"$11,755.41","$13,636.28","$3,889.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,889.22","$4,511.50","$7,866.19",$0.67,ENSALADAS,CERVEZA.,Bebidas,,,
ENERO 2026,,ANT,Alimentos,ENS ALGAS,82,"$11,614.01","$13,472.25","$1,631.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,631.57","$1,892.62","$9,982.44",$0.86,ENSALADAS,MOCTELERIA.,Bebidas,,,
ENERO 2026,,ANT,Alimentos,KING SALMON NG,140,"$11,465.52","$13,300.00",$959.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$959.56,"$1,113.09","$10,505.96",$0.92,NIGIRI,*BEBIDAS,Bebidas,,,
ENERO 2026,,ANT,Bebidas,COCA COLA,239,"$11,222.84","$13,018.49","$4,532.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,532.76","$5,258.00","$6,690.08",$0.60,BEBIDAS,WHISKY,Destilados,,,
ENERO 2026,,ANT,Bebidas,COCA ZERO,234,"$11,032.87","$12,798.13","$4,437.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,437.93","$5,148.00","$6,594.94",$0.60,BEBIDAS,TEQUILAS,Destilados,,,
ENERO 2026,,ANT,Bebidas,"ASAHI, SUPER DRY",107,"$11,001.72","$12,762.00","$5,534.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,534.48","$6,420.00","$5,467.24",$0.50,CERVEZA,GIN,Destilados,,,
ENERO 2026,,ANT,Alimentos,AKAMI NG,214,"$10,950.00","$12,702.00","$3,128.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,128.61","$3,629.18","$7,821.39",$0.71,NIGIRI,RON,Destilados,,,
ENERO 2026,,ANT,Alimentos,AVOCADO MAKI ATUN,82,"$10,936.85","$12,686.75","$3,641.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,641.61","$4,224.26","$7,295.24",$0.67,MAKIS,VODKA,Destilados,,,
ENERO 2026,,ANT,Alimentos,HIKARI MAKI,46,"$10,862.07","$12,600.00","$2,866.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,866.31","$3,324.92","$7,995.76",$0.74,ESPECIALES ANTEA,MEZCAL,Destilados,,,
ENERO 2026,,ANT,Alimentos,HAMACHI NG,185,"$10,323.60","$11,975.38","$2,007.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,007.71","$2,328.94","$8,315.89",$0.81,NIGIRI,DIGESTIVOS,Destilados,,,
ENERO 2026,,ANT,Alimentos,SOFT SHELL CRAB BAO,54,"$10,241.40","$11,880.02","$3,189.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,189.72","$3,700.07","$7,051.68",$0.69,CALIENTE,APERITIVOS,Destilados,,,
ENERO 2026,,ANT,Bebidas,XX LAGER,151,"$10,087.28","$11,701.24","$2,603.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,603.45","$3,020.00","$7,483.83",$0.74,CERVEZA,DESTILADOS,Destilados,,,
ENERO 2026,,ANT,Bebidas,BOHEMIA CLARA,162,"$9,990.52","$11,589.00","$3,212.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,212.07","$3,726.00","$6,778.45",$0.68,CERVEZA,SAKE,Destilados,,,
ENERO 2026,,ANT,Alimentos,SALMON SH,93,"$9,848.41","$11,424.16","$2,992.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,992.63","$3,471.45","$6,855.78",$0.70,SASHIMI,TEQUILA,Destilados,,,
ENERO 2026,,ANT,Alimentos,CRUDO HUACHINGO,50,"$9,698.28","$11,250.00","$3,591.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,591.26","$4,165.86","$6,107.02",$0.63,CRUDOS/TIRADITOS,GINEBRA,Destilados,,,
ENERO 2026,,ANT,Alimentos,HOTATE MAKI,40,"$9,582.76","$11,116.00","$3,139.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,139.32","$3,641.61","$6,443.44",$0.67,MAKIS,LICORES,Destilados,,,
