MES,FECHA VENTA,LÍNEA DE NEGOCIO,SUBCATEGORÍA 1,SUBCATEGORÍA 2,CANTIDAD,SUBTOTAL,TOTAL,COSTO 1,COSTO 2,COSTO 3,COSTO 4,COSTO 5,COSTO 6,COSTO 7,COSTO 8,COSTO 9,COSTO 10,COSTO 11,COSTO 12,COSTO 13,COSTO 14,COSTO 15,COSTO 16,COSTO 17,COSTO 18,COSTO 19,COSTO 20,COSTO 21,COSTO 22,COSTO 23,COSTO 24,COSTO 25,COSTO 26,COSTO 27,COSTO 28,COSTO 29,COSTO 30,COSTO 31,COSTO 32,COSTO 33,COSTO 34,COSTO 35,COSTO 36,COSTO 37,COSTO 38,COSTO 39,COSTO 40,COSTO 41,COSTO 42,COSTO 43,COSTO 44,COSTO 45,COSTO 46,COSTO 47,COSTO 48,COSTO 49,COSTO 50,COSTO TOTAL SIN IVA,COSTO TOTAL DEL SERVICIO,UTILIDAD BRUTA,MARGEN BRUTO,COL ESPECIAL 1,COL ESPECIAL 2,COL ESPECIAL 3,COL ESPECIAL 4,COL ESPECIAL 5,COL ESPECIAL 6
FEBRERO 2026,,MOR,Alimentos,KURO SALMON,8,"$1,068.97","$1,240.01",$246.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$246.69,$286.16,$822.28,$0.77,NIGIRI,,,,,
FEBRERO 2026,,MOR,Bebidas,COCA COLA,31,"$1,068.97","$1,240.01",$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,"$1,068.97",$1.00,DONBURI,,,,,
FEBRERO 2026,,MOR,Alimentos,NG ROBALO,27,"$1,047.41","$1,215.00",$337.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$337.97,$392.04,$709.44,$0.68,SAKE NAMA,,,,,
FEBRERO 2026,,MOR,Alimentos,NG KAMPACHI,22,"$1,043.10","$1,210.00",$411.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$411.28,$477.09,$631.82,$0.61,SAKE NAMA,,,,,
FEBRERO 2026,,MOR,Alimentos,TM SPICY AKAMI,11,"$1,043.10","$1,210.00",$345.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$345.55,$400.83,$697.55,$0.67,ENSALADAS,,,,,
FEBRERO 2026,,MOR,Bebidas,CORONA,25,"$1,012.93","$1,175.00",$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,"$1,012.93",$1.00,SASHIMIS ESP,,,,,
FEBRERO 2026,,MOR,Alimentos,TM SOFT SHELL,9,$969.83,"$1,125.00",$276.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$276.82,$321.11,$693.01,$0.71,MAKIS ESP,,,,,
FEBRERO 2026,,MOR,Alimentos,KURO MAGURO,7,$965.52,"$1,120.00",$354.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$354.87,$411.65,$610.65,$0.63,MAKI,,,,,
FEBRERO 2026,,MOR,Alimentos,SALSA SERRANITO,28,$965.52,"$1,120.00",$64.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$64.09,$74.35,$901.43,$0.93,CERVEZA NAMA,,,,,
FEBRERO 2026,,MOR,Bebidas,NARANJADA,26,$941.38,"$1,092.00",$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$941.38,$1.00,BEBIDAS.,,,,,
FEBRERO 2026,,MOR,Alimentos,HELADO,10,$905.17,"$1,050.00",$132.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$132.00,$153.12,$773.17,$0.85,SASHIMIS ESP,,,,,
FEBRERO 2026,,MOR,Alimentos,SPACY CAMARON DON,7,$875.00,"$1,015.00",$305.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$305.84,$354.77,$569.16,$0.65,BEBIDAS.,,,,,
FEBRERO 2026,,MOR,Destilados,DON JULIO BLANCO,1,$844.83,$980.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$844.83,$1.00,MAKI,,,,,
FEBRERO 2026,,MOR,Café Inf,AMERICANO,25,$818.97,$950.01,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$818.97,$1.00,TEMAKI ESP,,,,,
